City,MedianIncome,lat,lng,ImmigrationProportion,MinorityProportion,Cluster Labels,American Restaurant,Arepa Restaurant,Asian Restaurant,BBQ Joint,Bagel Shop,Bakery,Belgian Restaurant,Bistro,Brazilian Restaurant,Breakfast Spot,Buffet,Burger Joint,Burrito Place,Cajun / Creole Restaurant,Cambodian Restaurant,Caribbean Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Eastern European Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,German Restaurant,Greek Restaurant,Hot Dog Joint,Indian Restaurant,Irish Pub,Italian Restaurant,Japanese Restaurant,Korean Restaurant,Latin American Restaurant,Mac & Cheese Joint,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Molecular Gastronomy Restaurant,New American Restaurant,Noodle House,Pizza Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Romanian Restaurant,Salad Place,Sandwich Place,Scandinavian Restaurant,Seafood Restaurant,Soup Place,South American Restaurant,Southern / Soul Food Restaurant,Steakhouse,Sushi Restaurant,Swiss Restaurant,Taco Place,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Turkish Restaurant,Udon Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint
Abbotsford,73598.0,49.05,-122.3,24.8,0.08705655874422315,3,0.06521739130434782,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.08695652173913043,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.043478260869565216,0.021739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.10869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608
Barrie,80788.0,44.383333,-79.7,13.4,0.07253860394087046,2,0.044444444444444446,0.0,0.022222222222222223,0.022222222222222223,0.0,0.13333333333333333,0.0,0.0,0.0,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.022222222222222223,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.022222222222222223,0.044444444444444446,0.0
Belleville,63902.0,44.166667,-77.383333,7.3,0.07319845419413504,2,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.18604651162790697,0.0,0.023255813953488372,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0
Calgary,99583.0,51.083333,-114.08333300000001,29.4,0.3201036036036036,3,0.045454545454545456,0.0,0.0,0.06818181818181818,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.06818181818181818,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.045454545454545456,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.11363636363636363,0.0
Edmonton,94447.0,53.55,-113.5,23.8,0.26396975425330815,1,0.02564102564102564,0.0,0.05128205128205128,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.1282051282051282,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.0
Halifax,69522.0,44.65,-63.6,9.4,0.09722620582493992,1,0.023255813953488372,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.13953488372093023,0.0,0.046511627906976744,0.046511627906976744,0.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.0,0.0,0.0,0.06976744186046512,0.09302325581395349,0.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.0,0.046511627906976744,0.023255813953488372,0.0
Hamilton,75464.0,43.256101,-79.857484,24.1,0.13892876113128994,3,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.0,0.07692307692307693,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.02564102564102564,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
Kelowna,71127.0,49.9,-119.483333,13.9,0.09503712762471125,1,0.047619047619047616,0.0,0.0,0.023809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.047619047619047616,0.023809523809523808,0.0,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.07142857142857142,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.047619047619047616,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.047619047619047616,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.047619047619047616,0.0
Kingston,71195.0,44.3,-76.56666700000001,11.8,0.08638731993519856,1,0.0,0.0,0.0,0.023809523809523808,0.0,0.07142857142857142,0.0,0.0,0.0,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.09523809523809523,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.047619047619047616,0.023809523809523808,0.0,0.023809523809523808,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.07142857142857142,0.0,0.0,0.023809523809523808,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
Kitchener,77229.0,43.446976,-80.472484,23.0,0.18431610475754254,1,0.05,0.0,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.0,0.0,0.0,0.125,0.025,0.0,0.025,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.025,0.025,0.0,0.025,0.05,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.025,0.025,0.0
Lethbridge,75452.0,49.7,-112.83333300000001,13.5,0.13367885919821007,1,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304
London,64743.0,42.983333,-81.25,19.5,0.17340273672371778,1,0.045454545454545456,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.06818181818181818,0.0,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.06818181818181818,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,0.09090909090909091,0.045454545454545456,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.06818181818181818,0.0,0.0,0.0,0.09090909090909091,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0
Moncton,62871.0,46.09652,-64.79757,5.6,0.054945661168422796,1,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.0,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.0,0.10810810810810811,0.02702702702702703,0.02702702702702703,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.08108108108108109,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.05405405405405406
Montréal,61790.0,45.5,-73.583333,23.4,0.18809543230016312,1,0.0,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.17647058823529413,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0
Ottawa,82053.0,45.416667,-75.7,19.7,0.18837991266375545,3,0.025,0.0,0.05,0.0,0.0,0.025,0.025,0.0,0.0,0.05,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.025,0.0,0.025,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.1,0.05,0.025,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.075,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.025,0.0,0.025,0.0,0.0,0.025,0.1,0.0
Peterborough,64777.0,44.3,-78.333333,8.5,0.05327226852571538,0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.07692307692307693,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.05128205128205128,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
Québec,65359.0,46.8,-71.25,5.7,0.044314353140215035,1,0.0,0.0,0.0,0.0,0.05263157894736842,0.07894736842105263,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.07894736842105263,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.0,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.05263157894736842,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
Regina,84447.0,50.45,-104.616667,15.9,0.17575475499906348,0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.05,0.0,0.025,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.075,0.0,0.025,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.15,0.0,0.025,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.025,0.0,0.0
Sherbrooke,53747.0,45.4,-71.9,7.1,0.06086558015638874,1,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.05405405405405406,0.0
Sudbury,71687.0,46.5,-80.966667,5.8,0.028601835838765466,1,0.043478260869565216,0.0,0.021739130434782608,0.021739130434782608,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.2391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
Thunder Bay,68476.0,48.4,-89.233333,8.8,0.03760041878913564,3,0.06976744186046512,0.0,0.023255813953488372,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.06976744186046512,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.11627906976744186,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.13953488372093023,0.023255813953488372,0.0,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0
Toronto,78373.0,43.666667,-79.416667,46.1,0.46605889123345484,3,0.02702702702702703,0.0,0.05405405405405406,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.10810810810810811,0.02702702702702703,0.02702702702702703,0.0,0.0,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.0,0.02702702702702703,0.0,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.0,0.0,0.0,0.0,0.10810810810810811,0.02702702702702703,0.0
Trois-Rivières,51850.0,46.35,-72.55,3.2,0.026860384483637305,3,0.044444444444444446,0.0,0.0,0.044444444444444446,0.0,0.044444444444444446,0.0,0.022222222222222223,0.0,0.08888888888888889,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223
Vancouver,72662.0,49.25,-123.13333300000001,40.8,0.42616092486668555,3,0.022222222222222223,0.0,0.0,0.022222222222222223,0.044444444444444446,0.06666666666666667,0.022222222222222223,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.022222222222222223,0.06666666666666667,0.0,0.0,0.044444444444444446,0.0,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.044444444444444446,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.0
Windsor,65983.0,42.301649,-83.030744,22.9,0.15893699529516422,1,0.11363636363636363,0.0,0.0,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.0,0.022727272727272728,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,0.0,0.0
Winnipeg,70795.0,49.883333,-97.166667,23.9,0.2397783132377627,1,0.0,0.0,0.05,0.0,0.0,0.075,0.0,0.0,0.0,0.05,0.0,0.05,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.025,0.025,0.025,0.0,0.0,0.025,0.025,0.025,0.0,0.025,0.0,0.05,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.025,0.0,0.075,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.025,0.05,0.0
